Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Pertes,Variation de stock,Population
Koweït,15.87,189000000.0,4000000.0,137000000.0,0.0,0.0,4137312.0
Lesotho,2.72,17000000.0,0.0,15000000.0,0.0,1000000.0,2108328.0
Lettonie,7.22,41000000.0,20000000.0,43000000.0,0.0,16000000.0,1928459.0
Liban,3.9,73000000.0,4000000.0,13000000.0,0.0,0.0,6859408.0
Libéria,3.74,50000000.0,0.0,48000000.0,0.0,12000000.0,4818973.0
Lituanie,9.74,82000000.0,68000000.0,44000000.0,0.0,12000000.0,2801264.0
Luxembourg,7.19,11000000.0,1000000.0,11000000.0,0.0,0.0,604245.0
Macédoine du Nord,7.01,41000000.0,1000000.0,40000000.0,0.0,0.0,2082956.9999999998
Madagascar,0.97,82000000.0,0.0,0.0,2000000.0,0.0,26262313.0
Malaisie,12.95,1621000000.0,44000000.0,68000000.0,82000000.0,128000000.0,31528033.0
Malawi,1.74,98000000.0,0.0,0.0,7000000.0,33000000.0,18143217.0
Maldives,4.7,12000000.0,0.0,12000000.0,0.0,0.0,515696.0
Mali,0.96,52000000.0,0.0,1000000.0,0.0,-4000000.0,19077749.0
Malte,12.68,14000000.0,0.0,9000000.0,0.0,-1000000.0,439248.0
Maroc,7.29,746000000.0,1000000.0,3000000.0,0.0,17000000.0,36029093.0
Maurice,13.06,49000000.0,0.0,2000000.0,0.0,0.0,1267185.0
Mauritanie,1.59,22000000.0,0.0,24000000.0,0.0,6000000.0,4403313.0
Mongolie,0.95,9000000.0,0.0,10000000.0,0.0,1000000.0,3170216.0
Monténégro,5.79,10000000.0,0.0,8000000.0,0.0,1000000.0,627809.0
Mozambique,1.2,116000000.0,0.0,24000000.0,4000000.0,-1000000.0,29496004.0
Myanmar,9.93,1666000000.0,0.0,3000000.0,45000000.0,-1000000.0,53708320.0
Namibie,4.25,28000000.0,12000000.0,29000000.0,0.0,0.0,2448301.0
Nicaragua,6.91,138000000.0,0.0,6000000.0,0.0,11000000.0,6465501.0
Niger,0.32,21000000.0,0.0,3000000.0,1000000.0,0.0,22442822.0
Nigéria,0.31,202000000.0,0.0,0.0,10000000.0,0.0,195874683.0
Norvège,7.81,102000000.0,0.0,2000000.0,0.0,1000000.0,5337962.0
Nouvelle-Calédonie,14.05,11000000.0,0.0,9000000.0,0.0,-1000000.0,279993.0
Nouvelle-Zélande,12.02,168000000.0,23000000.0,1000000.0,0.0,32000000.0,4743131.0
Népal,0.67,58000000.0,0.0,0.0,3000000.0,0.0,28095714.0
Oman,7.38,114000000.0,16000000.0,126000000.0,0.0,2000000.0,4829473.0
Ouganda,0.51,66000000.0,0.0,0.0,3000000.0,0.0,42729036.0
Ouzbékistan,0.63,0.0,0.0,0.0,0.0,0.0,32476244.0
Pakistan,1.97,1282000000.0,4000000.0,2000000.0,64000000.0,-3000000.0,212228286.0
Panama,10.34,192000000.0,0.0,20000000.0,2000000.0,25000000.0,4176868.9999999995
Paraguay,1.8,41000000.0,4000000.0,1000000.0,0.0,0.0,6956066.0
Pays-Bas,8.48,372000000.0,1418000000.0,608000000.0,0.0,-82000000.0,17059560.0
Philippines,4.65,1521000000.0,2000000.0,249000000.0,62000000.0,-3000000.0,106651394.0
Pologne,12.14,1156000000.0,1025000000.0,55000000.0,27000000.0,225000000.0,37921592.0
Polynésie française,16.2,15000000.0,0.0,15000000.0,0.0,0.0,277679.0
Portugal,12.74,325000000.0,44000000.0,82000000.0,0.0,74000000.0,10256193.0
Roumanie,7.91,381000000.0,69000000.0,146000000.0,0.0,88000000.0,19506114.0
Rwanda,0.5,19000000.0,0.0,0.0,1000000.0,0.0,12301970.0
République centrafricaine,0.78,11000000.0,0.0,4000000.0,0.0,0.0,4666368.0
République de Corée,5.68,854000000.0,6000000.0,137000000.0,0.0,115000000.0,51171706.0
République de Moldova,5.53,66000000.0,0.0,16000000.0,0.0,5000000.0,4051944.0
